symbol,name,status,category
1101.TW,台泥,上市,水泥
1102.TW,亞泥,上市,水泥
1103.TW,嘉泥,上市,水泥
1104.TW,環泥,上市,水泥
1108.TW,幸福,上市,水泥
1109.TW,信大,上市,水泥
1110.TW,東泥,上市,水泥
1201.TW,味全,上市,食品
1203.TW,味王,上市,食品
1210.TW,大成,上市,食品
1213.TW,大飲,上市,食品
1215.TW,卜蜂,上市,食品
1216.TW,統一,上市,食品
1217.TW,愛之味,上市,食品
1218.TW,泰山,上市,食品
1219.TW,福壽,上市,食品
1220.TW,台榮,上市,食品
1225.TW,福懋油,上市,食品
1227.TW,佳格,上市,食品
1229.TW,聯華,上市,食品
1231.TW,聯華食,上市,食品
1232.TW,大統益,上市,食品
1233.TW,天仁,上市,食品
1234.TW,黑松,上市,食品
1235.TW,興泰,上市,食品
1236.TW,宏亞,上市,食品
1256.TW,鮮活果汁-KY,上市,食品
1702.TW,南僑,上市,食品
1737.TW,臺鹽,上市,食品
1301.TW,台塑,上市,塑膠
1303.TW,南亞,上市,塑膠
1304.TW,台聚,上市,塑膠
1305.TW,華夏,上市,塑膠
1307.TW,三芳,上市,塑膠
1308.TW,亞聚,上市,塑膠
1309.TW,台達化,上市,塑膠
1310.TW,台苯,上市,塑膠
1312.TW,國喬,上市,塑膠
1313.TW,聯成,上市,塑膠
1314.TW,中石化,上市,塑膠
1315.TW,達新,上市,塑膠
1319.TW,東陽,上市,塑膠
1321.TW,大洋,上市,塑膠
1323.TW,永裕,上市,塑膠
1324.TW,地球,上市,塑膠
1325.TW,恆大,上市,塑膠
1326.TW,台化,上市,塑膠
1337.TW,再生-KY,上市,塑膠
1339.TW,昭輝,上市,塑膠
1340.TW,勝悅-KY,上市,塑膠
4306.TW,炎洲,上市,塑膠
1402.TW,遠東新,上市,紡織纖維
1409.TW,新纖,上市,紡織纖維
1410.TW,南染,上市,紡織纖維
1413.TW,宏洲,上市,紡織纖維
1414.TW,東和,上市,紡織纖維
1416.TW,廣豐,上市,紡織纖維
1417.TW,嘉裕,上市,紡織纖維
1418.TW,東華,上市,紡織纖維
1419.TW,新紡,上市,紡織纖維
1423.TW,利華,上市,紡織纖維
1432.TW,大魯閣,上市,紡織纖維
